,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.30764,0.11088999999999999,0.062445,0.12911,0.116335,0.07267499999999999,0.07966999999999999,0.07821
10-19,0.19851999999999997,0.41922499999999996,0.149835,0.14301,0.20773,0.157875,0.12158,0.119345
20-29,0.101015,0.138135,0.36021499999999995,0.207295,0.163335,0.19252999999999998,0.162445,0.13968999999999998
30-39,0.177905,0.08736,0.14532499999999998,0.20551999999999998,0.1355,0.12839,0.137065,0.11333
40-49,0.11501,0.125905,0.110955,0.133105,0.174845,0.14561,0.134045,0.12943
50-59,0.05097,0.071325,0.09917,0.096415,0.112325,0.177695,0.14492,0.125515
60-69,0.027295,0.0259,0.042804999999999996,0.050675,0.050315,0.07356499999999999,0.138175,0.10272
70+,0.021755,0.02152,0.029435000000000003,0.035225,0.03974,0.051955,0.08147,0.19182
