,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.172805,0.07429,0.046775,0.103415,0.0737,0.045,0.086105,0.04773
10-19,0.13140000000000002,0.26336000000000004,0.11585,0.098575,0.190755,0.10721,0.08956,0.13328
20-29,0.18747,0.19863,0.35006499999999996,0.211505,0.23302,0.36628499999999997,0.20512000000000002,0.19038500000000003
30-39,0.20711,0.10625,0.12573499999999999,0.21842,0.122345,0.13936500000000002,0.21622000000000002,0.08787500000000001
40-49,0.100655,0.17446,0.107955,0.09223,0.16608,0.08097499999999999,0.13802,0.1713
50-59,0.1028,0.103125,0.171255,0.13908500000000001,0.093895,0.15458,0.096145,0.2
60-69,0.07214000000000001,0.04632,0.056735,0.10631499999999999,0.07011500000000001,0.049165,0.11801500000000001,0.08757999999999999
70+,0.025724999999999998,0.032420000000000004,0.02561,0.02942,0.04954,0.05638,0.047665,0.08302000000000001
