,<=5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70+
<=5,0.06422,0.05263,0.045765,0.05611,0.034534999999999996,0.0431,0.02365,0.05997,0.02778,0.033894999999999995,0.029095,0.014495000000000001,0.015385,0.021769999999999998,0.01381,0.018645,0.021055,0.013375000000000001,0.0344,0.028290000000000003,0.02088,0.04,0.043785,0.051995,0.03311,0.063925,0.05466,0.05294,0.039035,0.037525,0.07034,0.025865,0.094595,0.04369,0.04826,0.051519999999999996,0.034045,0.04554,0.0133,0.01613,0.03922,0.027835,0.045895,0.027545,0.054055000000000006,0.01584,0.01727,0.023715,0.01111,0.02182,0.02182,0.050095,0.020540000000000003,0.02439,0.045259999999999995,0.034965,0.04619,0.016805,0.05978,0.02703,0.02797,0.028470000000000002,0.04274,0.00952,0.06364,0.023004999999999998
6,0.004555,0.058550000000000005,0.013635000000000001,0.036825,0.02256,0.02889,0.036525,0.01222,0.00376,0.0063300000000000006,0.00389,0.0,0.00305,0.002735,0.0,0.0,0.0,0.00212,0.0,0.001045,0.0,0.0,0.0,0.005339999999999999,0.010624999999999999,0.002915,0.00337,0.01558,0.00343,0.00396,0.00383,0.00459,0.00937,0.01932,0.010475,0.00957,0.00427,0.00424,0.001985,0.009505,0.0,0.0,0.0037,0.0,0.00409,0.0,0.0035399999999999997,0.0,0.00415,0.0,0.00383,0.0,0.0,0.00433,0.00467,0.00493,0.0,0.01931,0.031665,0.006535,0.0,0.00671,0.02381,0.0,0.00851,0.00312
7,0.01033,0.01493,0.039825,0.0377,0.033960000000000004,0.00698,0.0208,0.00778,0.011155,0.007155,0.00772,0.00389,0.0030949999999999997,0.00132,0.0026049999999999997,0.00929,0.00227,0.005285,0.0023350000000000003,0.004345,0.00236,0.0027,0.002535,0.0025700000000000002,0.00266,0.0028,0.0,0.0030350000000000004,0.00366,0.0039049999999999996,0.0036249999999999998,0.009615,0.014284999999999999,0.00935,0.0,0.013985000000000001,0.030835,0.01606,0.004450000000000001,0.00541,0.010525,0.0,0.003575,0.0037549999999999997,0.00847,0.004165,0.0036049999999999997,0.0,0.0,0.0,0.007825,0.0035649999999999996,0.011975,0.0,0.004359999999999999,0.0048649999999999995,0.0,0.002515,0.0,0.02214,0.01439,0.03846,0.02381,0.018265000000000003,0.0,0.008935
8,0.015300000000000001,0.056205000000000005,0.057694999999999996,0.0608,0.05123,0.02871,0.029455000000000002,0.015179999999999999,0.00374,0.00343,0.003725,0.00772,0.00881,0.00852,0.00265,0.002565,0.00239,0.005265000000000001,0.002445,0.0023,0.002295,0.0027150000000000004,0.005135,0.00269,0.00542,0.0119,0.0068249999999999995,0.013694999999999999,0.011765,0.009600000000000001,0.014415,0.019465,0.024155,0.00924,0.010365,0.027715,0.00901,0.016705,0.009305,0.00515,0.00495,0.004359999999999999,0.00401,0.0,0.0,0.004125,0.011385,0.0,0.0,0.003615,0.00821,0.0,0.0,0.0086,0.006465,0.0,0.0,0.005575,0.0,0.0,0.0254,0.029415,0.0,0.0,0.03961,0.00642
9,0.018930000000000002,0.030225000000000002,0.05582,0.0383,0.088935,0.05907,0.01718,0.016955,0.01109,0.0173,0.015625,0.01541,0.00593,0.002765,0.00272,0.004915,0.0046300000000000004,0.00227,0.00452,0.006575,0.00239,0.005339999999999999,0.0,0.00797,0.00569,0.00595,0.026715,0.011904999999999999,0.02319,0.00403,0.041514999999999996,0.028810000000000002,0.02703,0.01508,0.019604999999999997,0.0197,0.02575,0.008115,0.013045000000000001,0.0052250000000000005,0.020995,0.00409,0.00387,0.00769,0.0039900000000000005,0.004110000000000001,0.0037,0.00402,0.00797,0.0033350000000000003,0.00734,0.00382,0.00429,0.008165,0.0,0.0046,0.0292,0.01667,0.005015,0.00662,0.0,0.0219,0.01613,0.0102,0.032525,0.005385
10,0.011265,0.014385,0.031039999999999998,0.019725,0.029464999999999998,0.05645,0.027305,0.01616,0.018085,0.009985,0.007535,0.0,0.011865,0.00293,0.00511,0.0024349999999999997,0.01277,0.004365,0.00452,0.00435,0.003475,0.00543,0.0051400000000000005,0.002735,0.005325,0.00304,0.013770000000000001,0.02312,0.006835,0.02317,0.00763,0.019095,0.02212,0.018735,0.01538,0.02625,0.02183,0.008490000000000001,0.01235,0.00515,0.016044999999999997,0.01575,0.011925000000000002,0.023594999999999998,0.00775,0.022365,0.0,0.0,0.0,0.0,0.007855000000000001,0.0040149999999999995,0.0,0.008065,0.01307,0.019655,0.0,0.01163,0.021105,0.04636,0.0,0.02076,0.008230000000000001,0.0,0.017475,0.008150000000000001
11,0.00334,0.014085,0.022885,0.025155,0.030019999999999998,0.048115000000000005,0.04364,0.0081,0.01107,0.0049,0.01156,0.00382,0.00893,0.006105,0.0026,0.010195,0.0,0.00439,0.00875,0.006645,0.00229,0.005595,0.002635,0.00262,0.00285,0.00551,0.004875,0.007549999999999999,0.0,0.0121,0.0,0.008830000000000001,0.01296,0.00494,0.005015,0.01856,0.0125,0.008145,0.022885,0.010175,0.014085,0.00794,0.00741,0.00374,0.01235,0.008365000000000001,0.00741,0.00386,0.0041,0.0033550000000000003,0.003565,0.0,0.00868,0.0,0.004319999999999999,0.0,0.00483,0.01075,0.005275,0.0,0.007220000000000001,0.00717,0.03306,0.01905,0.0,0.01178
12,0.010065000000000001,0.03038,0.02709,0.02326,0.035089999999999996,0.025805,0.02349,0.02041,0.041355,0.033385,0.01452,0.007605,0.00311,0.011495,0.01055,0.005005,0.00241,0.004375,0.0023150000000000002,0.00463,0.004545,0.00265,0.002725,0.005105,0.00258,0.0,0.006555,0.00323,0.003725,0.01174,0.01406,0.0049,0.023045,0.014385,0.01493,0.024815,0.00879,0.01255,0.006425,0.005350000000000001,0.01023,0.0081,0.00752,0.013795,0.00447,0.00887,0.007795,0.007984999999999999,0.0,0.00358,0.0,0.00378,0.001915,0.0,0.00893,0.0,0.0,0.0,0.0,0.02055,0.0069,0.014284999999999999,0.0,0.0101,0.01653,0.009944999999999999
13,0.009954999999999999,0.00462,0.02179,0.00828,0.014315000000000001,0.02951,0.022225,0.02449,0.064095,0.052705,0.022855,0.01845,0.015130000000000001,0.011715,0.00729,0.019535,0.0068249999999999995,0.010615,0.0023150000000000002,0.00905,0.006975,0.0,0.007469999999999999,0.00542,0.00538,0.005634999999999999,0.00322,0.009274999999999999,0.007705,0.008385,0.010929999999999999,0.004580000000000001,0.00911,0.0048649999999999995,0.00493,0.01715,0.01667,0.033195,0.00426,0.02857,0.02445,0.02907,0.00752,0.007285,0.015685,0.02439,0.00379,0.00402,0.0,0.0075899999999999995,0.007445,0.00382,0.0,0.0043,0.00446,0.00475,0.0,0.0,0.0052250000000000005,0.01351,0.0,0.00685,0.00826,0.0,0.0,0.012595
