,<=20,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70+
<=20,0.29519,0.14425,0.10491500000000001,0.082505,0.07577,0.06651499999999999,0.044675,0.04332,0.04521,0.039805,0.03256,0.0221,0.025235,0.025255,0.027185,0.03265,0.020755,0.025855,0.035055,0.03198,0.023254999999999998,0.036895,0.035295,0.040985,0.0465,0.0494,0.06262,0.045405,0.03957,0.030285,0.037254999999999996,0.042685,0.04241,0.039709999999999995,0.042405,0.030495,0.028265,0.01826,0.01818,0.023515,0.019229999999999997,0.01544,0.008645,0.013475,0.027035,0.015155,0.01174,0.02155,0.021355,0.029269999999999997,0.02826,0.0
20,0.04857,0.09354,0.086395,0.06672,0.06431500000000001,0.02726,0.01513,0.01369,0.01875,0.024835000000000003,0.01423,0.013875,0.008465,0.009264999999999999,0.00938,0.012025000000000001,0.013925,0.01011,0.009585,0.01225,0.0076100000000000004,0.0075049999999999995,0.01543,0.012485,0.009309999999999999,0.014010000000000002,0.00941,0.01033,0.01398,0.008369999999999999,0.018035,0.01135,0.014794999999999999,0.01746,0.01847,0.008645,0.009675,0.011825,0.007904999999999999,0.00985,0.00266,0.013774999999999999,0.00736,0.007105,0.00899,0.01192,0.00387,0.01304,0.0057599999999999995,0.00373,0.01293,0.0
21,0.02806,0.067575,0.09731999999999999,0.062145000000000006,0.053805,0.03338,0.024425000000000002,0.024755,0.024145,0.0312,0.02301,0.018095,0.022985,0.027475,0.0268,0.013760000000000001,0.0143,0.02245,0.01588,0.022925,0.01179,0.01659,0.017599999999999998,0.016825,0.014845,0.02438,0.009909999999999999,0.011795,0.018340000000000002,0.01793,0.014685,0.019229999999999997,0.01337,0.005795,0.015345000000000001,0.01559,0.00937,0.010105,0.01109,0.012379999999999999,0.010605,0.009985,0.01037,0.007379999999999999,0.010755,0.005355,0.008015000000000001,0.00928,0.01389,0.013430000000000001,0.013135,0.0
22,0.02441,0.04803,0.05827,0.05679,0.038385,0.0364,0.02689,0.03043,0.021145,0.01611,0.0161,0.013255,0.015435,0.01477,0.01465,0.009405,0.008879999999999999,0.013829999999999999,0.006189999999999999,0.009285,0.017085000000000003,0.01141,0.00643,0.00659,0.0052899999999999996,0.014255,0.0132,0.013105,0.019355,0.013430000000000001,0.013765,0.01207,0.007265000000000001,0.014159999999999999,0.009575,0.016640000000000002,0.007655,0.01094,0.014499999999999999,0.012885,0.0051400000000000005,0.01233,0.010395,0.0019,0.00443,0.01903,0.007605,0.00469,0.00938,0.009305,0.012105000000000001,0.0
23,0.022010000000000002,0.04321,0.055584999999999996,0.06664500000000001,0.06268499999999999,0.053715,0.048909999999999995,0.036345,0.02981,0.03868,0.042124999999999996,0.038285,0.032125,0.019685,0.01952,0.016085000000000002,0.014790000000000001,0.01882,0.02049,0.009485,0.011345,0.01227,0.010445,0.009375,0.017939999999999998,0.012975,0.018575,0.016640000000000002,0.03092,0.01531,0.00841,0.02059,0.01207,0.01426,0.00938,0.014634999999999999,0.012315,0.008985,0.009465,0.007265000000000001,0.008305,0.03213,0.016295,0.021545,0.00889,0.01023,0.02008,0.01887,0.021505,0.0107,0.01956,0.0
24,0.029265,0.051684999999999995,0.046395,0.06891,0.076635,0.050225,0.06012,0.067945,0.053745,0.04335,0.024855,0.035845,0.03616,0.034055,0.03818,0.0256,0.03816,0.018189999999999998,0.019125,0.016745,0.017230000000000002,0.01501,0.011375,0.014249999999999999,0.022824999999999998,0.02898,0.020380000000000002,0.016640000000000002,0.023625,0.02164,0.021019999999999997,0.02654,0.019785,0.018875,0.012725,0.015595,0.02916,0.020845000000000002,0.022594999999999997,0.017995,0.011484999999999999,0.01295,0.00605,0.010960000000000001,0.00916,0.026215,0.02679,0.012635,0.007435,0.010475,0.01659,0.0
25,0.0213,0.024,0.037425,0.030095,0.04075,0.0644,0.042845,0.03977,0.03723,0.03558,0.035214999999999996,0.024215,0.047265,0.02,0.012369999999999999,0.0184,0.01457,0.027075000000000002,0.028985,0.03137,0.01651,0.02066,0.015185,0.02832,0.01889,0.02377,0.024925,0.036250000000000004,0.01796,0.022175,0.013165,0.01515,0.034140000000000004,0.027595,0.030074999999999998,0.01381,0.03753,0.01864,0.020365,0.025255,0.035365,0.020405,0.0060999999999999995,0.01153,0.027365,0.01909,0.02075,0.025965,0.006945,0.00889,0.019455,0.0
26,0.016044999999999997,0.02574,0.03349,0.04829,0.034769999999999995,0.0572,0.072895,0.07045,0.05551,0.042859999999999995,0.055224999999999996,0.0295,0.02078,0.062025,0.03579,0.0312,0.05652,0.043340000000000004,0.02359,0.022379999999999997,0.06176,0.051995,0.024024999999999998,0.031439999999999996,0.044585,0.024575,0.045494999999999994,0.03277,0.01717,0.01384,0.034485,0.02611,0.017410000000000002,0.023629999999999998,0.025325,0.02064,0.01557,0.03502,0.03157,0.042609999999999995,0.01897,0.01797,0.00817,0.0243,0.015115,0.01061,0.016259999999999997,0.00482,0.01316,0.00935,0.022555,0.0
27,0.016210000000000002,0.018564999999999998,0.020415,0.02187,0.02657,0.0359,0.03499,0.05259,0.042359999999999995,0.04317,0.038325,0.03447,0.025515000000000003,0.028595,0.02413,0.026015000000000003,0.019785,0.02796,0.020395,0.01492,0.017750000000000002,0.023575,0.01319,0.018435,0.02079,0.020745,0.016300000000000002,0.013665,0.01637,0.01519,0.016805,0.01676,0.034265,0.01001,0.01656,0.010235,0.01286,0.013475,0.020409999999999998,0.018654999999999998,0.022949999999999998,0.025265,0.00817,0.016685,0.015015,0.016415,0.015935,0.023254999999999998,0.0292,0.021179999999999997,0.018515,0.0
