,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.22192499999999998,0.09162000000000001,0.05576,0.09181,0.092155,0.073345,0.07952999999999999,0.07478
10-19,0.181165,0.30701,0.14804499999999998,0.139405,0.17057499999999998,0.14279999999999998,0.125885,0.11338000000000001
20-29,0.14959,0.220335,0.37985,0.25687499999999996,0.20837,0.219545,0.18610500000000002,0.14993
30-39,0.163805,0.11152000000000001,0.14832499999999998,0.18369000000000002,0.148445,0.14263,0.1396,0.11789
40-49,0.127005,0.119265,0.107035,0.13548,0.157435,0.14283,0.136265,0.135575
50-59,0.07905000000000001,0.083955,0.091625,0.10273499999999999,0.11876,0.148755,0.14226,0.137375
60-69,0.042865,0.036879999999999996,0.04094,0.05123,0.05605,0.071265,0.102075,0.106935
70+,0.03437,0.028935000000000002,0.028825,0.03909,0.047814999999999996,0.0599,0.0874,0.16423500000000002
