,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-9,0.23243,0.09483,0.067045,0.22182000000000002,0.160545,0.05853,0.06192,0.059045
10-19,0.154945,0.34762,0.13313999999999998,0.150285,0.31098000000000003,0.22782000000000002,0.10836,0.09548000000000001
20-29,0.07475,0.06406500000000001,0.33689,0.107505,0.077065,0.13753,0.107535,0.081285
30-39,0.32197,0.119865,0.16588,0.29727499999999996,0.11258499999999999,0.100665,0.13224000000000002,0.10432
40-49,0.17359999999999998,0.25627,0.133715,0.130925,0.225315,0.15024500000000002,0.12893500000000002,0.12841
50-59,0.028955,0.096045,0.11578,0.055115,0.08274000000000001,0.240825,0.161495,0.092835
60-69,0.00905,0.012715,0.032854999999999995,0.02468,0.018185,0.06378,0.23338,0.11273
70+,0.00428,0.008230000000000001,0.015325,0.011869999999999999,0.012709999999999999,0.020124999999999997,0.06772500000000001,0.32384
